Downloaded from wid.world on 01-04-2022 at 19:51:28;;
Percentile;Year;"sptinc_z_HR
Pre-tax national income 
Top 1% | share
Croatia"
p99p100;1980;0.0418
p99p100;1981;0.0418
p99p100;1982;0.0418
p99p100;1983;0.0418
p99p100;1984;0.0431
p99p100;1985;0.0428
p99p100;1986;0.0434
p99p100;1987;0.0409
p99p100;1988;0.0411
p99p100;1989;0.0461
p99p100;1990;0.0494
p99p100;1991;0.0531
p99p100;1992;0.0578
p99p100;1993;0.0634
p99p100;1994;0.0682
p99p100;1995;0.0736
p99p100;1996;0.073
p99p100;1997;0.0772
p99p100;1998;0.0733
p99p100;1999;0.0772
p99p100;2000;0.0741
p99p100;2001;0.0754
p99p100;2002;0.0789
p99p100;2003;0.0775
p99p100;2004;0.0834
p99p100;2005;0.0929
p99p100;2006;0.0968
p99p100;2007;0.1016
p99p100;2008;0.1009
p99p100;2009;0.0889
p99p100;2010;0.0921
p99p100;2011;0.1015
p99p100;2012;0.0986
p99p100;2013;0.1063
p99p100;2014;0.1078
p99p100;2015;0.1126
p99p100;2016;0.1018
p99p100;2017;0.1053
p99p100;2018;0.1039
p99p100;2019;0.102
p99p100;2020;0.1024
p99p100;2021;0.1024
